,Country,Region,Income,Year,Population
0,Aruba,Latin America & Caribbean,High income,1960,54608.0
1,Afghanistan,South Asia,Low income,1960,8622466.0
2,Angola,Sub-Saharan Africa,Lower middle income,1960,5357195.0
3,Albania,Europe & Central Asia,Upper middle income,1960,1608800.0
4,Andorra,Europe & Central Asia,High income,1960,9443.0
5,United Arab Emirates,Middle East & North Africa,High income,1960,133426.0
6,Argentina,Latin America & Caribbean,Upper middle income,1960,20349744.0
7,Armenia,Europe & Central Asia,Upper middle income,1960,1904148.0
8,American Samoa,East Asia & Pacific,High income,1960,20085.0
9,Antigua and Barbuda,Latin America & Caribbean,High income,1960,55342.0
10,Australia,East Asia & Pacific,High income,1960,10276477.0
11,Austria,Europe & Central Asia,High income,1960,7047539.0
12,Azerbaijan,Europe & Central Asia,Upper middle income,1960,3894500.0
13,Burundi,Sub-Saharan Africa,Low income,1960,2746628.0
14,Belgium,Europe & Central Asia,High income,1960,9153489.0
15,Benin,Sub-Saharan Africa,Lower middle income,1960,2512284.0
16,Burkina Faso,Sub-Saharan Africa,Low income,1960,4783259.0
17,Bangladesh,South Asia,Lower middle income,1960,50396429.0
18,Bulgaria,Europe & Central Asia,Upper middle income,1960,7867374.0
19,Bahrain,Middle East & North Africa,High income,1960,160691.0
20,"Bahamas, The",Latin America & Caribbean,High income,1960,114500.0
21,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1960,3262539.0
22,Belarus,Europe & Central Asia,Upper middle income,1960,8198000.0
23,Belize,Latin America & Caribbean,Upper middle income,1960,91403.0
24,Bermuda,North America,High income,1960,44400.0
25,Bolivia,Latin America & Caribbean,Lower middle income,1960,3707515.0
26,Brazil,Latin America & Caribbean,Upper middle income,1960,73092515.0
27,Barbados,Latin America & Caribbean,High income,1960,232550.0
28,Brunei Darussalam,East Asia & Pacific,High income,1960,85346.0
29,Bhutan,South Asia,Lower middle income,1960,221266.0
30,Botswana,Sub-Saharan Africa,Upper middle income,1960,512865.0
31,Central African Republic,Sub-Saharan Africa,Low income,1960,1679728.0
32,Canada,North America,High income,1960,17909356.0
33,Switzerland,Europe & Central Asia,High income,1960,5327827.0
34,Channel Islands,Europe & Central Asia,High income,1960,109186.0
35,Chile,Latin America & Caribbean,High income,1960,8141820.0
36,China,East Asia & Pacific,Upper middle income,1960,667070000.0
37,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,1960,3708661.0
38,Cameroon,Sub-Saharan Africa,Lower middle income,1960,5117608.0
39,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,1960,15276558.0
40,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1960,1055693.0
41,Colombia,Latin America & Caribbean,Upper middle income,1960,15687688.0
42,Comoros,Sub-Saharan Africa,Lower middle income,1960,194852.0
43,Cabo Verde,Sub-Saharan Africa,Lower middle income,1960,209849.0
44,Costa Rica,Latin America & Caribbean,Upper middle income,1960,1346302.0
45,Cuba,Latin America & Caribbean,Upper middle income,1960,7267395.0
46,Curacao,Latin America & Caribbean,High income,1960,124826.0
47,Cayman Islands,Latin America & Caribbean,High income,1960,8473.0
48,Cyprus,Europe & Central Asia,High income,1960,585725.0
49,Czechia,Europe & Central Asia,High income,1960,9602006.0
50,Germany,Europe & Central Asia,High income,1960,72814900.0
51,Djibouti,Middle East & North Africa,Lower middle income,1960,85940.0
52,Dominica,Latin America & Caribbean,Upper middle income,1960,59379.0
53,Denmark,Europe & Central Asia,High income,1960,4579603.0
54,Dominican Republic,Latin America & Caribbean,Upper middle income,1960,3298021.0
55,Algeria,Middle East & North Africa,Lower middle income,1960,11394307.0
56,Ecuador,Latin America & Caribbean,Upper middle income,1960,4618158.0
57,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,1960,27034499.0
58,Eritrea,Sub-Saharan Africa,Low income,1960,993568.0
59,Spain,Europe & Central Asia,High income,1960,30455000.0
60,Estonia,Europe & Central Asia,High income,1960,1211537.0
61,Ethiopia,Sub-Saharan Africa,Low income,1960,21739710.0
62,Finland,Europe & Central Asia,High income,1960,4429634.0
63,Fiji,East Asia & Pacific,Upper middle income,1960,401841.0
64,France,Europe & Central Asia,High income,1960,46649927.0
65,Faroe Islands,Europe & Central Asia,High income,1960,34154.0
66,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,1960,42986.0
67,Gabon,Sub-Saharan Africa,Upper middle income,1960,513340.0
68,United Kingdom,Europe & Central Asia,High income,1960,52400000.0
69,Georgia,Europe & Central Asia,Upper middle income,1960,3645600.0
70,Ghana,Sub-Saharan Africa,Lower middle income,1960,6911510.0
71,Gibraltar,Europe & Central Asia,High income,1960,21822.0
72,Guinea,Sub-Saharan Africa,Lower middle income,1960,3516814.0
73,"Gambia, The",Sub-Saharan Africa,Low income,1960,399649.0
74,Guinea-Bissau,Sub-Saharan Africa,Low income,1960,577933.0
75,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1960,267351.0
76,Greece,Europe & Central Asia,High income,1960,8331725.0
77,Grenada,Latin America & Caribbean,Upper middle income,1960,93772.0
78,Greenland,Europe & Central Asia,High income,1960,32500.0
79,Guatemala,Latin America & Caribbean,Upper middle income,1960,4128880.0
80,Guam,East Asia & Pacific,High income,1960,72374.0
81,Guyana,Latin America & Caribbean,High income,1960,571990.0
82,"Hong Kong SAR, China",East Asia & Pacific,High income,1960,3114671.0
83,Honduras,Latin America & Caribbean,Lower middle income,1960,2078617.0
84,Croatia,Europe & Central Asia,High income,1960,4140181.0
85,Haiti,Latin America & Caribbean,Lower middle income,1960,3901139.0
86,Hungary,Europe & Central Asia,High income,1960,9983967.0
87,Indonesia,East Asia & Pacific,Upper middle income,1960,88382881.0
88,Isle of Man,Europe & Central Asia,High income,1960,48793.0
89,India,South Asia,Lower middle income,1960,445954579.0
90,Ireland,Europe & Central Asia,High income,1960,2828600.0
91,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,1960,21388806.0
92,Iraq,Middle East & North Africa,Upper middle income,1960,7084678.0
93,Iceland,Europe & Central Asia,High income,1960,175574.0
94,Israel,Middle East & North Africa,High income,1960,2114020.0
95,Italy,Europe & Central Asia,High income,1960,50199700.0
96,Jamaica,Latin America & Caribbean,Upper middle income,1960,1642331.0
97,Jordan,Middle East & North Africa,Lower middle income,1960,847936.0
98,Japan,East Asia & Pacific,High income,1960,93216000.0
99,Kazakhstan,Europe & Central Asia,Upper middle income,1960,9319283.0
100,Kenya,Sub-Saharan Africa,Lower middle income,1960,7751435.0
101,Kyrgyz Republic,Europe & Central Asia,Lower middle income,1960,2172300.0
102,Cambodia,East Asia & Pacific,Lower middle income,1960,5541676.0
103,Kiribati,East Asia & Pacific,Lower middle income,1960,47093.0
